[2024-12-17T17:25:16.890Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T17:25:18.053Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | AYME FASHION LTDA
[2024-12-17T17:25:19.772Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | B & G COMERCIO DE PECAS E ACESSORIOS LTDA
[2024-12-17T17:25:23.212Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | B & G RESTAURANTES LTDA
[2024-12-17T17:25:25.127Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | B PAIVA DE VASCONCELOS EIRELI
[2024-12-17T17:26:43.518Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | BRITO & GONCALVES COMERCIO E SERVIÇOS LTDA
[2024-12-17T17:27:06.404Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | BRITO & GONCALVES COMERCIO E SERVIÇOS LTDA
[2024-12-17T17:31:29.980Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | B PAIVA DE VASCONCELOS EIRELI
[2024-12-17T17:32:01.505Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T17:32:03.991Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T17:32:07.448Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T17:32:10.191Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T17:32:31.812Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T17:33:05.637Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGUIAR ENGENHARIA E CONSTRUCAO LTDA
[2024-12-17T17:33:05.640Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | ARTCAR LTDA
[2024-12-17T17:33:09.011Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T17:33:56.735Z] - João Vitor | MARCOU | SPED FISCAL - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T17:35:50.248Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGROPECUARIA LOPES E VIEIRA EIRELI 
[2024-12-17T17:35:55.930Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | AGUIAR ENGENHARIA E CONSTRUCAO LTDA
[2024-12-17T17:36:42.823Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGIL AUTOVIDROS E ACESSORIOS EIRELI - EPP - AGILENE
[2024-12-17T17:37:43.993Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGIL AUTO CENTER LTDA
[2024-12-17T17:38:09.528Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AYME FASHION LTDA
[2024-12-17T17:38:12.851Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | B & G COMERCIO DE PECAS E ACESSORIOS LTDA
[2024-12-17T17:38:15.686Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | B & G COMERCIO DE PECAS E ACESSORIOS LTDA
[2024-12-17T17:38:40.564Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | B & G RESTAURANTES LTDA
[2024-12-17T17:54:22.092Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | A. C. DE JESUS NETO
[2024-12-17T17:54:26.476Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T17:54:55.732Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | A DA S ARAUJO LTDA
[2024-12-17T17:54:57.964Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | A. C. DE JESUS NETO
[2024-12-17T17:55:00.206Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | AGIL AUTO CENTER LTDA
[2024-12-17T17:55:32.275Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | A. C. DE JESUS NETO
[2024-12-17T17:55:34.499Z] - João Vitor | DESMARCOU | EFD REINF - 11/2024 | AGIL AUTOVIDROS E ACESSORIOS EIRELI - EPP - AGILENE
[2024-12-17T18:03:20.204Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGUIAR ENGENHARIA E CONSTRUCAO LTDA
[2024-12-17T18:03:36.557Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGIL AUTO CENTER LTDA
[2024-12-17T18:03:38.390Z] - João Vitor | MARCOU | ISSQN - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
[2024-12-17T18:04:01.023Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | AGIL AUTOVIDROS E ACESSORIOS EIRELI - EPP - AGILENE
[2024-12-17T18:04:03.831Z] - João Vitor | MARCOU | EFD REINF - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T18:04:05.544Z] - João Vitor | MARCOU | ISSQN - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T18:04:08.187Z] - João Vitor | MARCOU | ISSQN - 11/2024 | B PAIVA DE VASCONCELOS EIRELI
[2024-12-17T18:04:10.021Z] - João Vitor | MARCOU | DEI - 11/2024 | B & G COMERCIO DE PECAS E ACESSORIOS LTDA
[2024-12-17T18:04:12.340Z] - João Vitor | MARCOU | DEI - 11/2024 | AYME FASHION LTDA
[2024-12-17T18:04:15.589Z] - João Vitor | MARCOU | DEI - 11/2024 | B & G RESTAURANTES LTDA
[2024-12-17T18:04:19.087Z] - João Vitor | MARCOU | SPED FISCAL - 11/2024 | B PAIVA DE VASCONCELOS EIRELI
[2024-12-17T18:04:19.100Z] - João Vitor | MARCOU | DIEF - 11/2024 | B PAIVA DE VASCONCELOS EIRELI
[2024-12-17T18:04:21.697Z] - João Vitor | MARCOU | ICMS NORMAL - 11/2024 | B PAIVA DE VASCONCELOS EIRELI
[2024-12-17T18:04:38.916Z] - João Vitor | MARCOU | ICMS NORMAL - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T18:04:54.125Z] - João Vitor | DESMARCOU | DIEF - 11/2024 | ATACADAO MOTO PECAS LTDA
[2024-12-17T18:04:56.587Z] - João Vitor | DESMARCOU | DIEF - 11/2024 | ASSOCIACAO COMERCIAL E INDUSTRIAL DE MARABA
